country_code,country_name,year,SP.DYN.IMRT.IN,SH.DYN.MORT,NY.GDP.FRST.RT.ZS,shrinking_next_yr,SP.POP.DPND.OL,dev_SP.POP.2024.FE.5Y,SP.POP.2024.FE.5Y,SP.POP.3034.FE.5Y,NY.GNS.ICTR.GN.ZS,time_del_MS.MIL.XPND.GD.ZS,SP.DYN.TFRT.IN,EN.ATM.CO2E.PC,SP.POP.5559.FE.5Y,NE.IMP.GNFS.ZS,NY.GDS.TOTL.ZS,TM.VAL.FUEL.ZS.UN,FS.AST.PRVT.GD.ZS,SE.PRM.ENRR,NV.SRV.TETC.ZS,dev_AG.PRD.FOOD.XD,IT.CEL.SETS.P2,SP.DYN.CDRT.IN,time_diff_SP.POP.DPND,NY.ADJ.DCO2.GN.ZS,NV.IND.TOTL.ZS,SP.DYN.LE00.MA.IN,SP.DYN.TO65.MA.ZS,FI.RES.TOTL.MO,time_del_AG.PRD.CROP.XD,NY.GDP.DEFL.KD.ZG,SP.DYN.LE00.FE.IN,SP.RUR.TOTL.ZS,NE.TRD.GNFS.ZS,stupid_predictor
ESP,Spain,1978,18.4,21.3,0.098273819,1.0,17.17051925,0.16884228199999995,7.438106052,6.306707199,24.23548815,0.04023201600000004,2.54,5.438594323999999,5.074090824,13.815605999999999,24.1408096,28.65888566,72.35158612,110.2642365,54.87368616673421,-28.68,0.0,8.1,-0.35402765999999275,0.438724128,30.982959174459886,71.32,75.34326999999999,7.15319908,12.719999999999999,20.63104227,77.42,28.473000000000003,27.76174119,0.0
ESP,Spain,1979,16.8,19.5,0.08575774300000001,1.0,17.36415816,0.17273243300000019,7.610838485,6.336267405,23.22840216,0.12790822899999998,2.37,5.478315887000001,5.230907935,14.101153400000001,23.07528574,30.50217859,71.6481802,109.90699009999999,54.87368616673421,-26.36,0.0,7.8,-0.5116264600000022,0.371041393,30.982959174459886,71.77,75.84764,8.105843606,3.4000000000000057,16.93163153,78.02,27.838,27.8710614,0.0
ESP,Spain,1980,15.3,17.8,0.10133048,1.0,17.50603632,0.15116625799999905,7.762004742999999,6.340078298,21.31664,0.07831986700000027,2.22,5.734778953999999,5.35337925,17.2323098,21.33675602,38.69014206,72.89939699,109.3601074,54.87368616673421,-24.0,0.0,7.7,-0.6709263300000003,0.40643558399999996,30.982959174459886,72.32,76.35202,5.979258341,1.1099999999999994,13.35482705,78.53,27.211,31.591673600000004,0.0
ESP,Spain,1981,14.1,16.4,0.09449615199999999,0.0,17.66221555,0.1137247970000006,7.87572954,6.339413175,19.34272962,0.08782640199999969,2.04,5.48982234,5.441709438999999,19.05526549,19.86185986,42.52097474,76.21758453,108.8563385,54.87368616673421,-28.96,0.0,7.8,-0.6486961499999992,0.509166638,30.982959174459886,72.47,76.85639,4.860409285,-10.36,12.35119231,78.74,26.721,35.41684951,0.0
ESP,Spain,1982,13.2,15.4,0.10214781199999999,0.0,17.771407800000002,0.09079211200000081,7.966521652000001,6.315014752000001,19.40698276,0.07455231399999995,1.94,5.525887107999999,5.499048234,19.50885665,19.98228647,39.87576287,78.72106269,109.4804535,54.87368616673421,-21.480000000000004,0.0,7.5,-0.8539852900000042,0.58404707,30.982959174459886,73.1,77.36076,4.235952913,10.939999999999998,13.58232333,79.32,26.485,36.56742743,0.0
ESP,Spain,1983,12.6,14.7,0.10803720800000001,0.0,17.87060196,0.06503168799999948,8.03155334,6.290358611,19.20758839,0.26303905999999966,1.8,5.367036187,5.539015347,20.64826662,20.10220997,40.34816018,73.83754109,109.5759277,54.87368616673421,-28.68,35.57684511807827,7.9,-0.9646859799999987,0.701394065,30.982959174459886,72.87,77.47148,4.2533505819999995,-10.780000000000001,11.88424575,79.1,26.250999999999998,39.81511104,0.0
ESP,Spain,1984,12.0,14.0,0.089290476,0.0,18.00964628,0.038038837000000214,8.069592177,6.302059934,20.82262047,0.028335590000000188,1.73,5.190482538,5.585991354,20.19441948,21.66965392,37.84461245,67.60586762,109.14515690000002,54.87368616673421,-19.5,35.57684511807827,7.8,-0.9564545899999999,0.721169955,30.982959174459886,73.11,77.5822,5.508259632000001,16.650000000000006,10.8647337,79.64,26.018,41.59969293,0.0
ESP,Spain,1985,11.4,13.4,0.08736755800000001,0.0,18.21687519,0.012875833999999031,8.082468011,6.370605274,21.49823135,-0.0107562609999996,1.64,5.230998485,5.652703644,19.95844731,21.68707245,36.134792100000006,65.503574,108.75808719999999,54.87368616673421,-22.930000000000007,35.57684511807827,8.1,-0.8884992600000032,0.732812942,30.982959174459886,73.04,77.69293,5.209860384,-4.300000000000011,8.595479444,79.64,25.787,40.92329962,0.0
ESP,Spain,1986,10.9,12.8,0.080401551,0.0,18.504352100000002,-0.0012876449999996709,8.081180366,6.503423121,22.49162748,-0.3142337430000004,1.56,4.93636136,5.738337400000001,17.11277204,22.75549193,18.91122883,64.25280921,107.4456635,54.87368616673421,-23.14,0.004406246,8.0,-1.0112958799999987,0.52380491,30.982959174459886,73.33,77.80365,5.6626550479999995,-0.8499999999999943,10.87881649,79.85,25.555999999999997,35.39741014,0.0
ESP,Spain,1987,10.4,12.3,0.068228478,0.0,18.84536192,-0.03284520100000066,8.048335165,6.6797948929999995,22.40095606,-0.009851073999999738,1.49,4.934193197,5.843138701,18.55473432,22.26125193,16.3084441,67.28395085,107.0121002,54.87368616673421,-15.019999999999996,0.010861727,8.0,-0.8376781599999958,0.437090449,30.982959174459886,73.45,77.91436999999999,7.252022938,12.530000000000001,5.94419832,80.17,25.326999999999998,36.364622499999996,0.0
